Dataset,Split,ID_Frase,Texto_Original,Tokens_SentencePiece,Total_Tokens_SP,Cant_Fragmentos_SP,Fragmentos_Detectados_SP,¿Tiene_OOV_SP?
CoNLL2002,train,0,"Melbourne ( Australia ) , 25 may ( EFE ) .","['▁Melbourne', '▁(', '▁Australia', '▁', ')', '▁', ',', '▁25', '▁may', '▁(', '▁E', 'FE', '▁', ')', '▁', '.']",16,12,"['▁Melbourne', '▁(', '▁Australia', '▁', '▁', '▁25', '▁may', '▁(', '▁E', 'FE', '▁', '▁']",No
CoNLL2002,train,1,-,"['▁', '-']",2,1,['▁'],No
CoNLL2002,train,2,"El Abogado General del Estado , Daryl Williams , subrayó hoy la necesidad de tomar medidas para proteger al sistema judicial australiano frente a una página de internet que imposibilita el cumplimiento de los principios básicos de la Ley .","['▁El', '▁Ab', 'oga', 'd', 'o', '▁General', '▁de', 'l', '▁Est', 'a', 'd', 'o', '▁', ',', '▁Da', 'ryl', '▁Williams', '▁', ',', '▁sub', 'ray', 'ó', '▁ho', 'y', '▁la', '▁nec', 'e', 's', 'idad', '▁de', '▁to', 'mar', '▁', 'medi', 'das', '▁para', '▁prote', 'ger', '▁al', '▁sistem', 'a', '▁', 'judicial', '▁australia', 'n', 'o', '▁fr', 'ente', '▁', 'a', '▁un', 'a', '▁', 'p', 'á', 'gina', '▁de', '▁internet', '▁que', '▁imposibil', 'it', 'a', '▁', 'e', 'l', '▁cum', 'pli', 'm', 'ient', 'o', '▁de', '▁los', '▁prin', 'cip', 'i', 'o', 's', '▁', 'b', 'á', 's', 'ico', 's', '▁de', '▁la', '▁Le', 'y', '▁', '.']",89,86,"['▁El', '▁Ab', 'oga', 'd', 'o', '▁General', '▁de', 'l', '▁Est', 'a', 'd', 'o', '▁', '▁Da', 'ryl', '▁Williams', '▁', '▁sub', 'ray', 'ó', '▁ho', 'y', '▁la', '▁nec', 'e', 's', 'idad', '▁de', '▁to', 'mar', '▁', 'medi', 'das', '▁para', '▁prote', 'ger', '▁al', '▁sistem', 'a', '▁', 'judicial', '▁australia', 'n', 'o', '▁fr', 'ente', '▁', 'a', '▁un', 'a', '▁', 'p', 'á', 'gina', '▁de', '▁internet', '▁que', '▁imposibil', 'it', 'a', '▁', 'e', 'l', '▁cum', 'pli', 'm', 'ient', 'o', '▁de', '▁los', '▁prin', 'cip', 'i', 'o', 's', '▁', 'b', 'á', 's', 'ico', 's', '▁de', '▁la', '▁Le', 'y', '▁']",No
CoNLL2002,validation,0,"Sao Paulo ( Brasil ) , 23 may ( EFECOM ) .","['▁Sa', 'o', '▁Paul', 'o', '▁(', '▁Bra', 's', 'il', '▁', ')', '▁', ',', '▁23', '▁may', '▁(', '▁E', 'FE', 'COM', '▁', ')', '▁', '.']",22,18,"['▁Sa', 'o', '▁Paul', 'o', '▁(', '▁Bra', 's', 'il', '▁', '▁', '▁23', '▁may', '▁(', '▁E', 'FE', 'COM', '▁', '▁']",No
CoNLL2002,validation,1,-,"['▁', '-']",2,1,['▁'],No
CoNLL2002,validation,2,"La multinacional española Telefónica ha impuesto un récord mundial al poner en servicio tres millones de nuevas líneas en el estado brasileño de Sao Paulo desde que asumió el control de la operadora Telesp hace 20 meses , anunció hoy el presidente de Telefónica do Brasil , Fernando Xavier Ferreira .","['▁La', '▁multi', 'nac', 'ional', '▁esp', 'a', 'ñ', 'o', 'la', '▁Tele', 'f', 'ón', 'ica', '▁ha', '▁imp', 'u', 'est', 'o', '▁un', '▁ré', 'cord', '▁mun', 'dial', '▁al', '▁po', 'ner', '▁', 'en', '▁', 'serv', 'ici', 'o', '▁', 'tre', 's', '▁mill', 'one', 's', '▁de', '▁nu', 'eva', 's', '▁', 'l', 'í', 'n', 'e', 'a', 's', '▁', 'en', '▁', 'e', 'l', '▁est', 'a', 'd', 'o', '▁bra', 's', 'ile', 'ñ', 'o', '▁de', '▁Sa', 'o', '▁Paul', 'o', '▁des', 'de', '▁que', '▁as', 'um', 'i', 'ó', '▁', 'e', 'l', '▁control', '▁de', '▁la', '▁oper', 'ador', 'a', '▁Tele', 's', 'p', '▁ha', 'ce', '▁20', '▁me', 'ses', '▁', ',', '▁an', 'unci', 'ó', '▁ho', 'y', '▁', 'e', 'l', '▁president', 'e', '▁de', '▁Tele', 'f', 'ón', 'ica', '▁do', '▁Bra', 's', 'il', '▁', ',', '▁Fernando', '▁', 'X', 'a', 'vier', '▁Ferr', 'eira', '▁', '.']",124,121,"['▁La', '▁multi', 'nac', 'ional', '▁esp', 'a', 'ñ', 'o', 'la', '▁Tele', 'f', 'ón', 'ica', '▁ha', '▁imp', 'u', 'est', 'o', '▁un', '▁ré', 'cord', '▁mun', 'dial', '▁al', '▁po', 'ner', '▁', 'en', '▁', 'serv', 'ici', 'o', '▁', 'tre', 's', '▁mill', 'one', 's', '▁de', '▁nu', 'eva', 's', '▁', 'l', 'í', 'n', 'e', 'a', 's', '▁', 'en', '▁', 'e', 'l', '▁est', 'a', 'd', 'o', '▁bra', 's', 'ile', 'ñ', 'o', '▁de', '▁Sa', 'o', '▁Paul', 'o', '▁des', 'de', '▁que', '▁as', 'um', 'i', 'ó', '▁', 'e', 'l', '▁control', '▁de', '▁la', '▁oper', 'ador', 'a', '▁Tele', 's', 'p', '▁ha', 'ce', '▁20', '▁me', 'ses', '▁', '▁an', 'unci', 'ó', '▁ho', 'y', '▁', 'e', 'l', '▁president', 'e', '▁de', '▁Tele', 'f', 'ón', 'ica', '▁do', '▁Bra', 's', 'il', '▁', '▁Fernando', '▁', 'X', 'a', 'vier', '▁Ferr', 'eira', '▁']",No
CoNLL2002,test,0,"La Coruña , 23 may ( EFECOM ) .","['▁La', '▁Cor', 'u', 'ñ', 'a', '▁', ',', '▁23', '▁may', '▁(', '▁E', 'FE', 'COM', '▁', ')', '▁', '.']",17,14,"['▁La', '▁Cor', 'u', 'ñ', 'a', '▁', '▁23', '▁may', '▁(', '▁E', 'FE', 'COM', '▁', '▁']",No
CoNLL2002,test,1,-,"['▁', '-']",2,1,['▁'],No
CoNLL2002,test,2,"Las reservas "" on line "" de billetes aéreos a través de Internet aumentaron en España un 300 por ciento en el primer trimestre de este año con respecto al mismo período de 1999 , aseguró hoy Iñigo García Aranda , responsable de comunicación de Savia Amadeus .","['▁Las', '▁', 're', 'serv', 'a', 's', '▁""', '▁on', '▁line', '▁""', '▁de', '▁billet', 'e', 's', '▁', 'a', 'é', 're', 'o', 's', '▁', 'a', '▁', 'tra', 'vé', 's', '▁de', '▁Internet', '▁au', 'ment', 'ar', 'on', '▁', 'en', '▁Espa', 'ñ', 'a', '▁un', '▁300', '▁por', '▁', 'c', 'ient', 'o', '▁', 'en', '▁', 'e', 'l', '▁primer', '▁trimestre', '▁de', '▁este', '▁', 'a', 'ñ', 'o', '▁con', '▁respect', 'o', '▁al', '▁mis', 'm', 'o', '▁per', 'í', 'o', 'd', 'o', '▁de', '▁1999', '▁', ',', '▁as', 'e', 'gur', 'ó', '▁ho', 'y', '▁I', 'ñ', 'i', 'go', '▁Gar', 'c', 'í', 'a', '▁Ar', 'and', 'a', '▁', ',', '▁responsable', '▁de', '▁comunic', 'a', 'ción', '▁de', '▁Sa', 'via', '▁A', 'made', 'us', '▁', '.']",105,102,"['▁Las', '▁', 're', 'serv', 'a', 's', '▁""', '▁on', '▁line', '▁""', '▁de', '▁billet', 'e', 's', '▁', 'a', 'é', 're', 'o', 's', '▁', 'a', '▁', 'tra', 'vé', 's', '▁de', '▁Internet', '▁au', 'ment', 'ar', 'on', '▁', 'en', '▁Espa', 'ñ', 'a', '▁un', '▁300', '▁por', '▁', 'c', 'ient', 'o', '▁', 'en', '▁', 'e', 'l', '▁primer', '▁trimestre', '▁de', '▁este', '▁', 'a', 'ñ', 'o', '▁con', '▁respect', 'o', '▁al', '▁mis', 'm', 'o', '▁per', 'í', 'o', 'd', 'o', '▁de', '▁1999', '▁', '▁as', 'e', 'gur', 'ó', '▁ho', 'y', '▁I', 'ñ', 'i', 'go', '▁Gar', 'c', 'í', 'a', '▁Ar', 'and', 'a', '▁', '▁responsable', '▁de', '▁comunic', 'a', 'ción', '▁de', '▁Sa', 'via', '▁A', 'made', 'us', '▁']",No
AnCora,train,0,La Guardia Civil rescató a algunos vecinos de sus casas .,"['▁La', '▁Guard', 'i', 'a', '▁Civil', '▁', 're', 's', 'cat', 'ó', '▁', 'a', '▁al', 'gu', 'nos', '▁vecin', 'o', 's', '▁de', '▁sus', '▁casa', 's', '▁', '.']",24,23,"['▁La', '▁Guard', 'i', 'a', '▁Civil', '▁', 're', 's', 'cat', 'ó', '▁', 'a', '▁al', 'gu', 'nos', '▁vecin', 'o', 's', '▁de', '▁sus', '▁casa', 's', '▁']",No
AnCora,train,1,"Desde el martes 24 las relaciones entre ambos se habían enturbiado a raíz de unas declaraciones realizadas por el diputado del Partido Nacionalista Vasco ( PNV ) , que había acusado a la independentista catalana de corrupta por participar cobrando en tertulias radiofónicas .","['▁Des', 'de', '▁', 'e', 'l', '▁mar', 'tes', '▁24', '▁la', 's', '▁rel', 'a', 'ciones', '▁entre', '▁', 'a', 'mbo', 's', '▁se', '▁hab', 'í', 'an', '▁', 'en', 'tur', 'bia', 'd', 'o', '▁', 'a', '▁', 'r', 'a', 'í', 'z', '▁de', '▁un', 'a', 's', '▁declar', 'a', 'ciones', '▁realiza', 'das', '▁por', '▁', 'e', 'l', '▁di', 'put', 'a', 'd', 'o', '▁de', 'l', '▁Part', 'i', 'd', 'o', '▁Na', 'c', 'ional', 'ist', 'a', '▁Vas', 'co', '▁(', '▁P', 'NV', '▁', ')', '▁', ',', '▁que', '▁hab', 'í', 'a', '▁', 'a', 'cu', 's', 'a', 'd', 'o', '▁', 'a', '▁la', '▁independent', 'ist', 'a', '▁cat', 'a', 'lan', 'a', '▁de', '▁corrupt', 'a', '▁por', '▁participa', 'r', '▁co', 'brand', 'o', '▁', 'en', '▁', 'ter', 'tul', 'i', 'a', 's', '▁radio', 'f', 'ón', 'ica', 's', '▁', '.']",118,115,"['▁Des', 'de', '▁', 'e', 'l', '▁mar', 'tes', '▁24', '▁la', 's', '▁rel', 'a', 'ciones', '▁entre', '▁', 'a', 'mbo', 's', '▁se', '▁hab', 'í', 'an', '▁', 'en', 'tur', 'bia', 'd', 'o', '▁', 'a', '▁', 'r', 'a', 'í', 'z', '▁de', '▁un', 'a', 's', '▁declar', 'a', 'ciones', '▁realiza', 'das', '▁por', '▁', 'e', 'l', '▁di', 'put', 'a', 'd', 'o', '▁de', 'l', '▁Part', 'i', 'd', 'o', '▁Na', 'c', 'ional', 'ist', 'a', '▁Vas', 'co', '▁(', '▁P', 'NV', '▁', '▁', '▁que', '▁hab', 'í', 'a', '▁', 'a', 'cu', 's', 'a', 'd', 'o', '▁', 'a', '▁la', '▁independent', 'ist', 'a', '▁cat', 'a', 'lan', 'a', '▁de', '▁corrupt', 'a', '▁por', '▁participa', 'r', '▁co', 'brand', 'o', '▁', 'en', '▁', 'ter', 'tul', 'i', 'a', 's', '▁radio', 'f', 'ón', 'ica', 's', '▁']",No
