,Sentence #,Word,Tag,POS
0,0,Las,O,DET
1,0,reservas,O,NOUN
2,0,de,O,ADP
3,0,oro,O,NOUN
4,0,y,O,CCONJ
5,0,divisas,O,NOUN
6,0,de,O,ADP
7,0,Rusia,B-LOC,PROPN
8,0,subieron,O,VERB
9,0,800,B-MISC,NUM
10,0,millones,O,NOUN
11,0,de,O,ADP
12,0,dólares,B-MISC,NOUN
13,0,y,O,CCONJ
14,0,el,O,DET
15,0,26,B-MISC,NUM
16,0,de,I-MISC,ADP
17,0,mayo,I-MISC,NOUN
18,0,equivalían,O,VERB
19,0,a,O,ADP
20,0,19.100,B-MISC,NUM
21,0,millones,O,NOUN
22,0,de,O,ADP
23,0,dólares,B-MISC,NOUN
24,0,",",O,PUNCT
25,0,informó,O,VERB
26,0,hoy,O,ADV
27,0,un,O,DET
28,0,comunicado,O,NOUN
29,0,del,O,ADP
30,0,Banco,B-ORG,PROPN
31,0,Central,I-ORG,PROPN
32,0,.,O,PUNCT
0,1,Según,O,ADP
1,1,el,O,DET
2,1,informe,O,NOUN
3,1,",",O,PUNCT
4,1,el,O,DET
5,1,19,B-MISC,NUM
6,1,de,I-MISC,ADP
7,1,mayo,I-MISC,NOUN
8,1,las,O,DET
9,1,reservas,O,NOUN
10,1,de,O,ADP
11,1,oro,O,NOUN
12,1,y,O,CCONJ
13,1,divisas,O,NOUN
14,1,del,O,ADP
15,1,Banco,B-ORG,PROPN
16,1,Central,I-ORG,PROPN
17,1,eran,O,AUX
18,1,de,O,ADP
19,1,18.300,B-MISC,NUM
20,1,millones,O,NOUN
21,1,de,O,ADP
22,1,dólares,B-MISC,NOUN
23,1,.,O,PUNCT
0,2,Los,O,DET
1,2,activos,O,NOUN
2,2,en,O,ADP
3,2,divisas,O,NOUN
4,2,en,O,ADP
5,2,poder,O,NOUN
6,2,del,O,ADP
7,2,Banco,B-ORG,PROPN
8,2,Central,I-ORG,PROPN
9,2,y,O,CCONJ
10,2,el,O,DET
11,2,Ministerio,B-ORG,PROPN
12,2,de,I-ORG,ADP
13,2,Finanzas,I-ORG,PROPN
14,2,se,O,PRON
15,2,calculan,O,VERB
16,2,en,O,ADP
17,2,dólares,B-MISC,NOUN
18,2,estadounidenses,O,ADJ
19,2,y,O,CCONJ
20,2,su,O,DET
21,2,valor,O,NOUN
22,2,depende,O,VERB
23,2,del,O,ADP
24,2,cambio,O,NOUN
25,2,oficial,O,ADJ
26,2,rublo-dólar,B-MISC,NOUN
27,2,que,O,PRON
28,2,establece,O,VERB
29,2,el,O,DET
30,2,Banco,B-ORG,PROPN
31,2,Central,I-ORG,PROPN
32,2,.,O,PUNCT
0,3,Las,O,DET
1,3,reservas,O,NOUN
2,3,en,O,ADP
3,3,oro,O,NOUN
4,3,se,O,PRON
5,3,valoran,O,VERB
6,3,en,O,ADP
7,3,base,O,NOUN
8,3,a,O,ADP
9,3,300,B-MISC,NUM
10,3,dólares,B-MISC,NOUN
11,3,estadounidenses,O,ADJ
12,3,por,O,ADP
13,3,cada,O,DET
14,3,onza,O,NOUN
15,3,troy,O,NOUN
16,3,de,O,ADP
17,3,oro,O,NOUN
18,3,.,O,PUNCT
0,4,El,O,DET
1,4,presidente,O,NOUN
2,4,de,O,ADP
3,4,la,O,DET
4,4,Generalitat,B-ORG,PROPN
5,4,",",O,PUNCT
6,4,Jordi,B-PER,PROPN
7,4,Pujol,I-PER,PROPN
8,4,",",O,PUNCT
9,4,cree,O,VERB
10,4,necesario,O,ADJ
11,4,que,O,SCONJ
12,4,el,O,DET
13,4,Gobierno,B-ORG,PROPN
14,4,agilice,O,VERB
15,4,los,O,DET
16,4,permisos,O,NOUN
17,4,de,O,ADP
18,4,residencia,O,NOUN
19,4,a,O,ADP
20,4,los,O,DET
21,4,inmigrantes,O,NOUN
22,4,para,O,ADP
23,4,poder,O,AUX
24,4,responder,O,VERB
25,4,a,O,ADP
26,4,la,O,DET
27,4,falta,O,NOUN
28,4,de,O,ADP
29,4,mano,O,NOUN
30,4,de,O,ADP
31,4,obra,O,NOUN
32,4,en,O,ADP
33,4,Cataluña,B-LOC,PROPN
34,4,que,O,PRON
35,4,",",O,PUNCT
36,4,según,O,ADP
37,4,cálculos,O,NOUN
38,4,del,O,ADP
39,4,Departamento,B-ORG,PROPN
40,4,de,I-ORG,ADP
41,4,Trabajo,I-ORG,PROPN
42,4,",",O,PUNCT
43,4,impide,O,VERB
44,4,cubrir,O,VERB
